path,state,coordinate,relative_E
./S000/variant_01,S000,0,0
./S100/variant_01,S100,1,0.22253 
./S001/variant_02,S001,1,0.83278 
./S101/variant_03,S101,2 ,-0.150130281
./S110/variant_02,S110,2,0.59365525
./S200/variant_01,S200,2,-0.21096 
./S102/variant_02,S102,3 ,-0.096112062
./S111/variant_03,S111,3 ,0.550313469
./S201/variant_03,S201,3 ,-0.873308781
./S210/variant_02,S210,3 ,0.40310675
./S300/variant_03,S300,3 ,0.2688045
./S112/variant_02,S112,4 ,1.397621688
./S202/variant_02,S202,4 ,-1.553590562
./S211/variant_03,S211,4 ,-0.380805031
./S220/variant_01,S220,4 ,0.9440405
./S301/variant_01,S301,4 ,0.449342719
./S310/variant_03,S310,4 ,0.75371825
./S212/variant_03,S212,5 ,0.369243187
./S221/variant_02,S221,5 ,-0.145001281
./S302/variant_03,S302,5 ,0.952960937
./S311/variant_03,S311,5 ,-0.986533531
./S320/variant_01,S320,5 ,0.701282
./S222/variant_03,S222,6 ,2.790396938
./S312/variant_03,S312,6 ,-1.555435313
./S321/variant_01,S321,6 ,-0.748279781
./S322/variant_02,S322,7 ,-1.911741562
